is_notre_dame,is_opponent,id,first_name,last_name,middle_name,suffix,created_at,updated_at
"false","true","150","'Darrell'","'Royal'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","151","'Darryl'","'Rogers'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","152","'Dave'","'Allerdice'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","153","'Dave'","'Clawson'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","154","'Dave'","'Doeren'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","155","'Dave'","'Roberts'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","156","'Dave'","'Wannstedt'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","157","'David'","'Bailiff'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","158","'David'","'Cutcliffe'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","159","'David'","'Hart'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","160","'David'","'Shaw'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","161","'Dennis'","'Erickson'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","162","'Dennis'","'Green'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","163","'Denny'","'Stolz'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","164","'Derek'","'Mason'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","165","'Dick'","'Hanley'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","166","'Dino'","'Babers'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","167","'Don'","'Clark'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","168","'Don'","'Faurot'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","169","'Don'","'Nehlen'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","170","'Don'","'Read'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","171","'Duffy'","'Daugherty'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","172","'Dutch'","'Clark'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","173","'E.E.'","'Bearg'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","174","'E.J.'","'Stewart'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","175","'Earl'","'Blaik'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","176","'Earl'","'Brown'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","177","'Earle'","'Hayes'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","178","'Ed'","'Cavanaugh'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","179","'Ed'","'Orgeron'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","180","'Ed'","'Price'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","181","'Eddie'","'Anderson'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","182","'Eddie'","'Erdelatz'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","183","'Edward'","'Baker'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","184","'Elliot'","'Uzelac'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","185","'Elmer'","'McDevitt'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","186","'Evan'","'Williams'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","187","'Fielding'","'Yost'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","188","'Fisher'","'DeBerry'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","189","'Foge'","'Fazio'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
